"","Prob Rec","MSP1_1","MSP1_2","MSP1_3","MSP1_4","MSP1_5","MSP1_6","MSP2_1","MSP2_2","MSP2_3","MSP2_4","MSP2_5","MSP2_6","glurp_1","glurp_2","glurp_3","glurp_4","glurp_5","glurp_6"
"1","0","1219","1254","2150","2148.46349155073","0","0","107","209","1241","1282","0","0","215","215","215","215","0","0"
"2","0","187","171.658227086489","0","0","0","0","201","176.97692875879","0","0","0","0","191","207","0","0","0","0"
"3","0.92","183","1219","1249","2150","2148.08882467201","168.730803685516","235","100","190","213","233","1235","215","207","191","191","215","223"
"4","0.92","177","1210","2148","0","0","0","100","1239","255.480445603956","0","0","0","215","215","223","0","0","0"
"5","0","2147","2184","2213","0","0","0","1151","1300","1285.65012297306","0","0","0","215","223","215","0","0","0"
"6","0","1247","1277.87481004502","1246.83085944085","0","0","0","190","281","1240","0","0","0","215","215","215","0","0","0"
"7","0","1237","1267","0","0","0","0","183","240.750997035831","0","0","0","0","215","215","0","0","0","0"
"8","0","172","211","240","1256","1285","0","154","1284","1239.17110365422","110.601702746645","135.991772795066","0","215","215","215","191","215","0"
"9","0","1298","1331","0","0","0","0","192","205.023561538119","0","0","0","0","215","215","0","0","0","0"
"10","0","1262","1280","0","0","0","0","167","224","0","0","0","0","207","215","0","0","0","0"
"11","0","1255","2147","2212","0","0","0","163","1260","160.305400187492","0","0","0","207","223","215","0","0","0"
"12","0","2146","0","0","0","0","0","192","0","0","0","0","0","215","0","0","0","0","0"
"13","0.0266666666666667","1219","1249","2145.58418776445","0","0","0","177","137","1262","0","0","0","191","215","215","0","0","0"
"14","0.0266666666666667","1237.7311978794","1235.84655082601","0","0","0","0","186","1241","0","0","0","0","215","215","0","0","0","0"
"15","0","1218","1236.89613664707","1250.25723387248","0","0","0","99","213","1261","0","0","0","215","191","215","0","0","0"
"16","0","177","2146","2146.60180054386","0","0","0","226","1241","1264","0","0","0","215","215","215","0","0","0"
"17","0","1301","2146","2182.33480017291","1209.38302972555","0","0","155","255","1241","1284","0","0","191","215","215","215","0","0"
"18","0","1251.0705540124","0","0","0","0","0","128","0","0","0","0","0","191","0","0","0","0","0"
"19","0.64","1238","2147","1238.52689251165","1251.01505758685","0","0","178","226","1241","1283","0","0","215","215","215","215","0","0"
"20","0.64","1243","2153","1280.33588089072","1248.70433286943","0","0","181","228","1243","1284","0","0","207","215","215","215","0","0"
"21","0","211","2153","2212.50069003019","0","0","0","178","238","1241","0","0","0","207","207","207","0","0","0"
"22","0","2148","0","0","0","0","0","150","0","0","0","0","0","215","0","0","0","0","0"
