"","Prob Rec","MSP1_1","MSP1_2","MSP1_3","MSP1_4","MSP1_5","MSP1_6","MSP2_1","MSP2_2","MSP2_3","MSP2_4","MSP2_5","MSP2_6"
"1","0.946666666666667","1255","1263","2145","0","0","0","155","1283","1283.50430696386","0","0","0"
"2","0.946666666666667","1262","2150","2140.22012454318","2146.86209196143","0","0","156","180","1243","1287","0","0"
"3","0","225.744419566993","0","0","0","0","0","156","0","0","0","0","0"
"4","0","1258.23365922983","1253.62466013617","0","0","0","0","101","225","0","0","0","0"
"5","0.466666666666667","1239","1268","0","0","0","0","1304","1243","0","0","0","0"
"6","0.466666666666667","1278","1308","0","0","0","0","1243","1304.47796751545","0","0","0","0"
"7","0.92","1260","1290","2147","0","0","0","150","1225","1311","0","0","0"
"8","0.92","178","2147","0","0","0","0","170","1224","0","0","0","0"
"9","0.12","1217.78419129438","198.40998698732","0","0","0","0","179","1241","0","0","0","0"
"10","0.12","1235.41187739002","1254.24262583127","2211.60758238406","0","0","0","90","184","1263","0","0","0"
"11","0.893333333333333","1236","1244","1235.5570378192","0","0","0","181","206","1242","0","0","0"
"12","0.893333333333333","1236.06295110066","196.726318536086","1242.10393159914","0","0","0","195","239","1241","0","0","0"
"13","0.68","191","2149","0","0","0","0","209","1242","0","0","0","0"
"14","0.68","196","2147","0","0","0","0","198","209.623027468515","0","0","0","0"
"15","0.48","1243","1274","2147","2214","0","0","207","1264","211.006780612111","1225.38682546758","0","0"
"16","0.48","2149","0","0","0","0","0","1225","0","0","0","0","0"
"17","0","229","294","1229","1316","1281","0","188","238","1244","1242.50365113601","1241.85003553465","0"
"18","0","2148","2147.29535045676","2145.77583915893","0","0","0","135","171","1224","0","0","0"
"19","0","201","248","1225","1231","1243","0","145","186","1244","179.142248457599","185.004198505517","0"
"20","0","2150.96235874425","0","0","0","0","0","1261","0","0","0","0","0"
"21","0","2213.83744091811","0","0","0","0","0","1241","0","0","0","0","0"
"22","0","2146","2211","0","0","0","0","182","195.744146518452","0","0","0","0"
"23","0.28","2148","2183","2212","0","0","0","103","195","215.577248220628","0","0","0"
"24","0.28","189","200","243","2146","0","0","182","218","1260","1244.16211626168","0","0"
"25","0","186","1218","1247","2147","0","0","149","169","1244","256.807455063441","0","0"
"26","0","194.599115569255","0","0","0","0","0","185","0","0","0","0","0"
"27","0.373333333333333","2147","2183","2211","0","0","0","1223","1240.24244911396","1238.65932222342","0","0","0"
"28","0.373333333333333","1256","2145","0","0","0","0","1224.90193637341","193.425492082726","0","0","0","0"
"29","0.573333333333333","191","2146","249.202846508836","237.482197804468","0","0","166","216","256","1242","0","0"
"30","0.573333333333333","222","231.852166746934","194.50526249013","228.790549741152","0","0","151","178","182","255","0","0"
"31","0.426666666666667","199","1276","1306","2144","0","0","182","180.863354620529","164.259852223476","256.233249011865","0","0"
"32","0.426666666666667","1267","0","0","0","0","0","181","0","0","0","0","0"
"33","0","2146","2147.92503763077","2144.37774348644","0","0","0","181","198","1241","0","0","0"
"34","0","191.111106128788","0","0","0","0","0","288","0","0","0","0","0"
"35","0.346666666666667","232","1226","1246","2150","2191","2220","192","207","1223","1247","210.906234687075","1240.18646009944"
"36","0.346666666666667","181","227","250","1220","1231","2147","184","209","1266","1263.24327235103","178.503772621843","207.349679047872"
"37","0.92","196","234","263","1254","1273","2146","174","203","1240","277.500706776975","1219.93855003978","144.496604673953"
"38","0.92","195","232","1253","1270","2146","0","174","202","1240","170.38942053084","220.375249388929","0"
"39","0.986666666666667","177","2146","2183","2211","0","0","209","220","1242","1242","0","0"
"40","0.986666666666667","2145","2211","0","0","0","0","204","1242","0","0","0","0"
"41","0.96","177","1220","2146","2211","0","0","173","1263","156.535164542005","155.348102891135","0","0"
"42","0.96","2209.23061321752","0","0","0","0","0","156","0","0","0","0","0"
"43","0.68","186","224","253","1252","2150","2145.98183616867","145","154","174","240","277","1262"
"44","0.68","196","1284","2146","0","0","0","154","1243","1242.35767207018","0","0","0"
"45","0","2142.20195308185","0","0","0","0","0","177","0","0","0","0","0"
"46","0","1245.8556437677","2147.41279265663","0","0","0","0","285","1244","0","0","0","0"
